"war","dbpedia","date","place_name"
"1849 Baden Revolution","http://dbpedia.org/resource/1849_Baden_Revolution",1849-07-23,"Grand Duchy of Baden"
"1851 Chilean Revolution","http://dbpedia.org/resource/1851_Chilean_Revolution",1851-12-31,"Chile"
"1872 Cavite mutiny","http://dbpedia.org/resource/1872_Cavite_mutiny",1872-01-20,"Spanish East Indies"
"1872 Cavite mutiny","http://dbpedia.org/resource/1872_Cavite_mutiny",1872-01-20,"Cavite"
"1872 Cavite mutiny","http://dbpedia.org/resource/1872_Cavite_mutiny",1872-01-20,"Fort San Felipe (Cavite)"
"1896 Manila mutiny","http://dbpedia.org/resource/1896_Manila_mutiny",1896-12-05,"Intramuros"
"1896 Manila mutiny","http://dbpedia.org/resource/1896_Manila_mutiny",1896-12-05,"Captaincy General of the Philippines"
"1905 Russian Revolution","http://dbpedia.org/resource/1905_Russian_Revolution",1905-01-22,"Russian Empire"
"1907 Romanian Peasants' revolt","http://dbpedia.org/resource/1907_Romanian_Peasants'_revolt",1907-04-05,"Kingdom of Romania"
"190th Fighter Squadron, Blues and Royals friendly fire incident","http://dbpedia.org/resource/190th_Fighter_Squadron,_Blues_and_Royals_friendly_fire_incident",2003-03-28,"Iraq"
"1919 Polish coup attempt","http://dbpedia.org/resource/1919_Polish_coup_attempt",1919-01-05,"Second Polish Republic"
"1919 Polish coup attempt","http://dbpedia.org/resource/1919_Polish_coup_attempt",1919-01-05,"Warsaw"
"1921 Persian coup d'état","http://dbpedia.org/resource/1921_Persian_coup_d'état",1921-02-21,"Tehran"
"1924 Estonian coup d'état attempt","http://dbpedia.org/resource/1924_Estonian_coup_d'état_attempt",1924-12-01,"Estonia"
"1925 Hama uprising","http://dbpedia.org/resource/1925_Hama_uprising",1925-10-05,"Hama"
"1925 Hama uprising","http://dbpedia.org/resource/1925_Hama_uprising",1925-10-05,"French Mandate of Syria"
"1930 Argentine coup d'état","http://dbpedia.org/resource/1930_Argentine_coup_d'état",1930-09-06,"Buenos Aires"
"1930 Argentine coup d'état","http://dbpedia.org/resource/1930_Argentine_coup_d'état",1930-09-06,"Argentina"
"1932 Salvadoran peasant massacre","http://dbpedia.org/resource/1932_Salvadoran_peasant_massacre",1932-01-22,"El Salvador"
"1936 Iraqi coup d'état","http://dbpedia.org/resource/1936_Iraqi_coup_d'état",1936-10-29,"Kingdom of Iraq"
"1936 Naval Revolt (Portugal)","http://dbpedia.org/resource/1936_Naval_Revolt_(Portugal)",1936-09-08,"Oporto"
"1936 Naval Revolt (Portugal)","http://dbpedia.org/resource/1936_Naval_Revolt_(Portugal)",1936-09-08,"Portugal"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Hunan"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Shandong"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Henan"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Guangdong"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Hubei"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Shanxi"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Anhui"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Suiyuan"
"1939–40 Winter Offensive","http://dbpedia.org/resource/1939–40_Winter_Offensive",1939-11-01,"Jiangxi"
"1940–44 insurgency in Chechnya","http://dbpedia.org/resource/1940–44_insurgency_in_Chechnya",1940-12-20,"Chechen-Ingush Autonomous Soviet Socialist Republic"
"1940–44 insurgency in Chechnya","http://dbpedia.org/resource/1940–44_insurgency_in_Chechnya",1940-12-20,"Dagestan Autonomous Soviet Socialist Republic"
"1941 Iraqi coup d'état","http://dbpedia.org/resource/1941_Iraqi_coup_d'état",1941-04-01,"Kingdom of Iraq"
"1947–48 Civil War in Mandatory Palestine","http://dbpedia.org/resource/1947–48_Civil_War_in_Mandatory_Palestine",1947-11-30,"Mandatory Palestine"
"1948 Arab–Israeli War","http://dbpedia.org/resource/1948_Arab–Israeli_War",1948-05-15,"Sinai Peninsula"
"1948 Arab–Israeli War","http://dbpedia.org/resource/1948_Arab–Israeli_War",1949-07-20,"Sinai Peninsula"
"1948 Arab–Israeli War","http://dbpedia.org/resource/1948_Arab–Israeli_War",1948-05-15,"Southern Lebanon"
"1948 Arab–Israeli War","http://dbpedia.org/resource/1948_Arab–Israeli_War",1949-07-20,"Southern Lebanon"
"1948 Arab–Israeli War","http://dbpedia.org/resource/1948_Arab–Israeli_War",1948-05-15,"British Mandate of Palestine"
"1948 Arab–Israeli War","http://dbpedia.org/resource/1948_Arab–Israeli_War",1949-07-20,"British Mandate of Palestine"
"1948 Czechoslovak coup d'état","http://dbpedia.org/resource/1948_Czechoslovak_coup_d'état",1948-02-25,"History of Czechoslovakia (1945–48)"
"1948 Palestine war","http://dbpedia.org/resource/1948_Palestine_war",1947-11-30,"Sinai Peninsula"
"1948 Palestine war","http://dbpedia.org/resource/1948_Palestine_war",1949-07-20,"Sinai Peninsula"
"1948 Palestine war","http://dbpedia.org/resource/1948_Palestine_war",1947-11-30,"Southern Lebanon"
"1948 Palestine war","http://dbpedia.org/resource/1948_Palestine_war",1949-07-20,"Southern Lebanon"
"1948 Palestine war","http://dbpedia.org/resource/1948_Palestine_war",1947-11-30,"Mandatory Palestine"
"1948 Palestine war","http://dbpedia.org/resource/1948_Palestine_war",1949-07-20,"Mandatory Palestine"
"1953 Iranian coup d'état","http://dbpedia.org/resource/1953_Iranian_coup_d'état",1953-08-19,"Iran"
"1953 Lahore riots","http://dbpedia.org/resource/1953_Lahore_riots",1953-02-01,"Pakistan"
"1953 Lahore riots","http://dbpedia.org/resource/1953_Lahore_riots",1953-02-01,"Lahore"
